"flag","gases.co.ae","gases.co.diff","gases.co.we","gases.no.ae","gases.no.diff","gases.no.we","gases.no2.ae","gases.no2.diff","gases.no2.we","gases.o3.ae","gases.o3.diff","gases.o3.we","geo.lat","geo.lon","met.rh","met.temp","met.wd","met.ws","neph.cscat","neph.pm1","neph.pm10","neph.pm25","opc.bin0","opc.bin1","opc.bin10","opc.bin11","opc.bin12","opc.bin13","opc.bin14","opc.bin15","opc.bin16","opc.bin17","opc.bin18","opc.bin19","opc.bin2","opc.bin20","opc.bin21","opc.bin22","opc.bin23","opc.bin3","opc.bin4","opc.bin5","opc.bin6","opc.bin7","opc.bin8","opc.bin9","opc.pm1","opc.pm10","opc.pm25","sn","timestamp","timestamp_local","url"
24,622.5,167,789.5,672.1,7.79999999999995,679.9,1647.4,2.59999999999991,1650,1645.7,-7.79999999999995,1642.2,NA,NA,50.6,26.1,0,0,263.125,0.6,2.4,2.1,7.1017,0.2371,0,0,0,0,0,0,0,0,NA,NA,0.0466,NA,NA,NA,NA,0.0042,0.0085,0,0,0,0,0,0.91,0.99,0.98,"MOD-00026","2022-07-19T23:59:35","2022-07-19T19:59:35","https://api.quant-aq.com/device-api/v1/devices/MOD-00026/data/raw/9731298"
24,621.8,167.1,788.9,672,8.10000000000002,680.1,1647.5,2.5,1650,1645.7,-8,1642,NA,NA,50.6,26.1,0,0,277.5,1,3.5,3.5,7.0396,0.2334,0,0,0,0,0,0,0,0,NA,NA,0.0507,NA,NA,NA,NA,0,0,0.0043,0,0,0,0,0.89,0.98,0.96,"MOD-00026","2022-07-19T23:58:35","2022-07-19T19:58:35","https://api.quant-aq.com/device-api/v1/devices/MOD-00026/data/raw/9731297"
24,621.3,167.6,788.9,671.6,8.29999999999995,679.9,1647.3,2.70000000000005,1650,1645.9,-7.70000000000005,1642.3,NA,NA,50.6,26.1,0,0,286.5,1,4.1,3.8,6.3983,0.1983,0,0,0,0,0,0,0,0,NA,NA,0.0278,NA,NA,NA,NA,0.004,0.0041,0,0,0,0,0,0.8,0.85,0.85,"MOD-00026","2022-07-19T23:57:35","2022-07-19T19:57:35","https://api.quant-aq.com/device-api/v1/devices/MOD-00026/data/raw/9730933"
24,623.5,166,789.5,672.4,7.80000000000007,680.2,1647.6,2.5,1650.1,1645.6,-8,1642.1,NA,NA,50.8,26.1,0,0,280,1.1,2.9,2.9,6.6261,0.2265,0,0,0,0,0,0,0,0,NA,NA,0.0238,NA,NA,NA,NA,0.0119,0,0,0,0,0,0,0.84,0.88,0.88,"MOD-00026","2022-07-19T23:56:35","2022-07-19T19:56:35","https://api.quant-aq.com/device-api/v1/devices/MOD-00026/data/raw/9730932"
24,622.3,166.8,789.1,671.4,7.89999999999998,679.3,1647.5,2.5,1650,1645.9,-7.70000000000005,1642.3,NA,NA,50.9,26.1,0,0,272.375,0.6,2.9,2.5,6.2982,0.2377,0,0,0,0,0,0,0,0,NA,NA,0.0402,NA,NA,NA,NA,0.0042,0.0161,0,0,0,0,0,0.82,0.93,0.92,"MOD-00026","2022-07-19T23:55:35","2022-07-19T19:55:35","https://api.quant-aq.com/device-api/v1/devices/MOD-00026/data/raw/9730931"
24,622.2,167.5,789.7,672.1,8,680.1,1647.3,2.79999999999995,1650.1,1645.6,-7.89999999999986,1642.2,NA,NA,50.9,26.1,0,0,305.375,1.1,3.2,3,6.6374,0.2353,0,0,0,0,0,0,0,0,NA,NA,0.0411,NA,NA,NA,NA,0,0.0123,0.0042,0,0,0,0,0.85,0.99,0.97,"MOD-00026","2022-07-19T23:54:35","2022-07-19T19:54:35","https://api.quant-aq.com/device-api/v1/devices/MOD-00026/data/raw/9730930"
24,621.4,167.5,788.9,671.3,8,679.3,1647.5,2.5,1650,1645.6,-7.70000000000005,1642.3,NA,NA,50.9,26.1,0,0,265.625,0.6,3.4,3.1,6.5653,0.2423,0,0,0,0,0,0,0,0,NA,NA,0.0242,NA,NA,NA,NA,0.0081,0.0041,0.0039,0.0041,0,0,0,0.84,1.06,0.98,"MOD-00026","2022-07-19T23:53:35","2022-07-19T19:53:35","https://api.quant-aq.com/device-api/v1/devices/MOD-00026/data/raw/9730929"
24,622.4,167.7,790.1,671.5,8.10000000000002,679.6,1647.4,2.59999999999991,1650,1645.5,-7.79999999999995,1642.2,NA,NA,50.8,26.1,0,0,265.625,0.5,2.8,2.8,6.222,0.2292,0,0,0,0,0,0,0,0,NA,NA,0.0435,NA,NA,NA,NA,0.004,0.004,0.004,0,0,0,0,0.8,0.91,0.89,"MOD-00026","2022-07-19T23:52:35","2022-07-19T19:52:35","https://api.quant-aq.com/device-api/v1/devices/MOD-00026/data/raw/9730928"
24,622.1,167.5,789.6,670.8,8.20000000000005,679,1647.4,2.59999999999991,1650,1645.9,-7.70000000000005,1642.3,NA,NA,50.8,26.1,0,0,309.875,0.6,3.1,1.8,6.7041,0.2828,0,0,0,0,0,0,0,0,NA,NA,0.0483,NA,NA,NA,NA,0.008,0.0081,0.004,0,0,0.004,0,0.88,1.59,1.03,"MOD-00026","2022-07-19T23:51:35","2022-07-19T19:51:35","https://api.quant-aq.com/device-api/v1/devices/MOD-00026/data/raw/9730560"
24,621.2,168.9,790.1,671.7,7.89999999999998,679.6,1647.4,2.59999999999991,1650,1645.6,-7.70000000000005,1642.3,NA,NA,50.9,26.1,0,0,268.25,0.4,1.5,1.5,6.6691,0.2474,0,0,0,0,0,0,0,0,NA,NA,0.0363,NA,NA,NA,NA,0,0.0082,0,0.0121,0.0041,0,0,0.85,1.55,1.13,"MOD-00026","2022-07-19T23:50:35","2022-07-19T19:50:35","https://api.quant-aq.com/device-api/v1/devices/MOD-00026/data/raw/9730559"
