"flag","geo.lat","geo.lon","met.rh","met.temp","neph.bin0","neph.bin1","neph.bin2","neph.bin3","neph.bin4","neph.bin5","neph.pm1","neph.pm10","neph.pm25","opc.bin0","opc.bin1","opc.bin10","opc.bin11","opc.bin12","opc.bin13","opc.bin14","opc.bin15","opc.bin16","opc.bin17","opc.bin18","opc.bin19","opc.bin2","opc.bin20","opc.bin21","opc.bin22","opc.bin23","opc.bin3","opc.bin4","opc.bin5","opc.bin6","opc.bin7","opc.bin8","opc.bin9","opc.pm1","opc.pm10","opc.pm25","opc.rh","opc.temp","sn","timestamp","timestamp_local","url"
0, 42.32070,-71.07147,55.08,24.70, 651.750, 177.250,  45.875,   4.500,   1.500,   0.250,   1.750,   5.375,   4.500, 18.0703,  1.6495,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.2250,  0.0000,  0.0000,  0.0000,  0.0000,  0.0215,  0.0173,  0.0174,  0.0084,  0.0045,  0.0175,  0.0000,  2.6900,  6.2600,  3.4300,  0.0000,  0.0000,"MOD-PM-00211","2022-09-14T23:53:02","2022-09-14T19:53:02","https://api.quant-aq.com/device-api/v1/devices/MOD-PM-00211/data/raw/180917548"
0, 42.32070,-71.07147,54.95,24.72, 622.500, 174.375,  41.750,   4.500,   1.000,   0.250,   0.625,   4.000,   3.375, 15.9840,  1.3042,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.1798,  0.0000,  0.0000,  0.0000,  0.0000,  0.0042,  0.0176,  0.0127,  0.0084,  0.0086,  0.0000,  0.0000,  2.3100,  3.5000,  2.8400,  0.0000,  0.0000,"MOD-PM-00211","2022-09-14T23:52:02","2022-09-14T19:52:02","https://api.quant-aq.com/device-api/v1/devices/MOD-PM-00211/data/raw/180917546"
0, 42.32070,-71.07147,54.95,24.74, 568.125, 149.000,  30.250,   1.500,   0.250,   0.250,   0.625,   2.250,   2.000, 17.0033,  1.6226,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.1944,  0.0000,  0.0000,  0.0000,  0.0000,  0.0373,  0.0235,  0.0140,  0.0188,  0.0092,  0.0186,  0.0000,  2.5600,  6.9100,  3.5200,  0.0000,  0.0000,"MOD-PM-00211","2022-09-14T23:51:02","2022-09-14T19:51:02","https://api.quant-aq.com/device-api/v1/devices/MOD-PM-00211/data/raw/180917543"
0, 42.32070,-71.07147,54.73,24.76, 475.500, 121.875,  23.000,   2.750,   1.250,   1.250,   0.375,   3.125,   1.875, 15.9054,  1.3363,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.2284,  0.0000,  0.0000,  0.0000,  0.0000,  0.0133,  0.0269,  0.0407,  0.0136,  0.0045,  0.0088,  0.0044,  2.3800,  6.3300,  3.3400,  0.0000,  0.0000,"MOD-PM-00211","2022-09-14T23:50:02","2022-09-14T19:50:02","https://api.quant-aq.com/device-api/v1/devices/MOD-PM-00211/data/raw/180917542"
0, 42.32070,-71.07147,54.75,24.78, 601.500, 150.250,  35.500,   4.000,   0.000,   0.000,   0.875,   3.750,   3.500, 16.8453,  1.4511,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.1771,  0.0000,  0.0000,  0.0000,  0.0000,  0.0466,  0.0363,  0.0231,  0.0095,  0.0047,  0.0000,  0.0000,  2.5100,  3.7600,  3.2400,  0.0000,  0.0000,"MOD-PM-00211","2022-09-14T23:49:02","2022-09-14T19:49:02","https://api.quant-aq.com/device-api/v1/devices/MOD-PM-00211/data/raw/180917541"
0, 42.32070,-71.07147,54.82,24.80, 499.875, 121.875,  43.375,   6.000,   0.750,   0.000,   0.625,   3.250,   2.750, 17.7534,  1.5571,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.2629,  0.0000,  0.0000,  0.0000,  0.0000,  0.0285,  0.0183,  0.0185,  0.0136,  0.0000,  0.0000,  0.0000,  2.6600,  3.5800,  3.2700,  0.0000,  0.0000,"MOD-PM-00211","2022-09-14T23:48:02","2022-09-14T19:48:02","https://api.quant-aq.com/device-api/v1/devices/MOD-PM-00211/data/raw/180917540"
0, 42.32070,-71.07147,54.82,24.80, 499.875, 121.875,  43.375,   6.000,   0.750,   0.000,   0.625,   3.250,   2.750, 17.7534,  1.5571,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.2629,  0.0000,  0.0000,  0.0000,  0.0000,  0.0285,  0.0183,  0.0185,  0.0136,  0.0000,  0.0000,  0.0000,  2.6600,  3.5800,  3.2700,  0.0000,  0.0000,"MOD-PM-00211","2022-09-14T23:48:02","2022-09-14T19:48:02","https://api.quant-aq.com/device-api/v1/devices/MOD-PM-00211/data/raw/180917539"
0, 42.32070,-71.07147,54.69,24.83, 551.250, 146.375,  45.500,   4.000,   1.250,   1.250,   0.750,   4.250,   2.750, 17.0545,  1.5506,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.1852,  0.0000,  0.0000,  0.0000,  0.0000,  0.0141,  0.0269,  0.0092,  0.0088,  0.0044,  0.0184,  0.0000,  2.5200,  6.1300,  3.2100,  0.0000,  0.0000,"MOD-PM-00211","2022-09-14T23:47:02","2022-09-14T19:47:02","https://api.quant-aq.com/device-api/v1/devices/MOD-PM-00211/data/raw/180915482"
0, 42.32070,-71.07147,54.71,24.84, 583.125, 149.875,  29.000,   0.500,   0.500,   0.500,   1.250,   2.875,   2.375, 17.2647,  1.7124,  0.0045,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.2099,  0.0000,  0.0000,  0.0000,  0.0000,  0.0354,  0.0625,  0.0138,  0.0181,  0.0044,  0.0045,  0.0000,  2.6600,  6.7300,  3.5800,  0.0000,  0.0000,"MOD-PM-00211","2022-09-14T23:46:02","2022-09-14T19:46:02","https://api.quant-aq.com/device-api/v1/devices/MOD-PM-00211/data/raw/180915479"
0, 42.32070,-71.07147,54.63,24.86, 528.375, 142.000,  35.125,   1.750,   1.250,   1.250,   0.875,   3.750,   2.625, 16.8607,  1.4290,  0.0045,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.2662,  0.0000,  0.0000,  0.0000,  0.0000,  0.0309,  0.0586,  0.0583,  0.0088,  0.0045,  0.0043,  0.0042,  2.5900,  8.0500,  3.7800,  0.0000,  0.0000,"MOD-PM-00211","2022-09-14T23:45:02","2022-09-14T19:45:02","https://api.quant-aq.com/device-api/v1/devices/MOD-PM-00211/data/raw/180915477"
