"flag","geo.lat","geo.lon","met.rh","met.temp","neph.bin0","neph.bin1","neph.bin2","neph.bin3","neph.bin4","neph.bin5","neph.pm1","neph.pm10","neph.pm25","opc.bin0","opc.bin1","opc.bin10","opc.bin11","opc.bin12","opc.bin13","opc.bin14","opc.bin15","opc.bin16","opc.bin17","opc.bin18","opc.bin19","opc.bin2","opc.bin20","opc.bin21","opc.bin22","opc.bin23","opc.bin3","opc.bin4","opc.bin5","opc.bin6","opc.bin7","opc.bin8","opc.bin9","opc.pm1","opc.pm10","opc.pm25","opc.rh","opc.temp","sn","timestamp","timestamp_local","url"
0, 42.312,-71.071,64.50,23.73,1221.375, 354.375,  60.625,   1.750,   1.250,   0.000,   5.125,   8.000,   7.375,17.3321, 1.8119, 0.0000, 0.0041, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.5072, 0.0000, 0.0000, 0.0000, 0.0000, 0.1398, 0.1249, 0.1204, 0.0503, 0.0231, 0.0114, 0.0115, 3.1100,15.9400, 6.2700, 0.0000, 0.0000,"MOD-PM-00221","2022-09-09T23:59:11","2022-09-09T19:59:11","https://api.quant-aq.com/device-api/v1/devices/MOD-PM-00221/data/raw/178376254"
0, 42.312,-71.071,64.54,23.75,1361.625, 393.000,  90.875,   6.000,   3.250,   2.750,   5.500,  13.125,  10.250,18.9575, 2.1396, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.4742, 0.0000, 0.0000, 0.0000, 0.0000, 0.0738, 0.2006, 0.0872, 0.0751, 0.0153, 0.0154, 0.0040, 3.3600,12.3200, 6.6500, 0.0000, 0.0000,"MOD-PM-00221","2022-09-09T23:58:11","2022-09-09T19:58:11","https://api.quant-aq.com/device-api/v1/devices/MOD-PM-00221/data/raw/178376253"
0, 42.312,-71.071,64.54,23.75,1361.625, 393.000,  90.875,   6.000,   3.250,   2.750,   5.500,  13.125,  10.250,18.9575, 2.1396, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.4742, 0.0000, 0.0000, 0.0000, 0.0000, 0.0738, 0.2006, 0.0872, 0.0751, 0.0153, 0.0154, 0.0040, 3.3600,12.3200, 6.6500, 0.0000, 0.0000,"MOD-PM-00221","2022-09-09T23:58:11","2022-09-09T19:58:11","https://api.quant-aq.com/device-api/v1/devices/MOD-PM-00221/data/raw/178376252"
0, 42.312,-71.071,64.20,23.78,1363.875, 391.875,  80.500,   6.000,   1.750,   0.250,   5.250,  11.375,   9.875,19.3555, 2.0595, 0.0040, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.5927, 0.0000, 0.0000, 0.0000, 0.0000, 0.0983, 0.1648, 0.1289, 0.0592, 0.0308, 0.0273, 0.0000, 3.4700,15.8100, 7.1600, 0.0000, 0.0000,"MOD-PM-00221","2022-09-09T23:57:11","2022-09-09T19:57:11","https://api.quant-aq.com/device-api/v1/devices/MOD-PM-00221/data/raw/178374433"
0, 42.312,-71.071,64.02,23.79,1353.375, 391.125,  73.000,   5.500,   2.750,   2.250,   5.625,  11.250,   8.875,18.8477, 2.1401, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.6310, 0.0000, 0.0000, 0.0000, 0.0000, 0.1010, 0.1554, 0.1394, 0.0540, 0.0310, 0.0193, 0.0077, 3.4600,14.9500, 7.1100, 0.0000, 0.0000,"MOD-PM-00221","2022-09-09T23:56:11","2022-09-09T19:56:11","https://api.quant-aq.com/device-api/v1/devices/MOD-PM-00221/data/raw/178374431"
0, 42.312,-71.071,63.91,23.80,1312.125, 388.875,  47.125,   1.250,   0.000,   0.000,   6.125,   8.500,   8.500,20.5066, 2.1955, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.5275, 0.0000, 0.0000, 0.0000, 0.0000, 0.1188, 0.1638, 0.1041, 0.0841, 0.0154, 0.0159, 0.0000, 3.6000,11.9800, 7.0900, 0.0000, 0.0000,"MOD-PM-00221","2022-09-09T23:55:11","2022-09-09T19:55:11","https://api.quant-aq.com/device-api/v1/devices/MOD-PM-00221/data/raw/178374430"
0, 42.312,-71.071,64.01,23.81,1147.875, 327.875,  80.375,   3.250,   1.000,   0.000,   3.750,   9.625,   9.000,20.7386, 2.3082, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.4532, 0.0000, 0.0000, 0.0000, 0.0000, 0.0912, 0.1356, 0.1745, 0.0456, 0.0330, 0.0115, 0.0194, 3.5900,17.2900, 7.3100, 0.0000, 0.0000,"MOD-PM-00221","2022-09-09T23:54:11","2022-09-09T19:54:11","https://api.quant-aq.com/device-api/v1/devices/MOD-PM-00221/data/raw/178374429"
0, 42.312,-71.071,64.19,23.83,1603.125, 471.250,  65.625,   7.250,   2.500,   1.250,   7.250,  12.875,  10.625,20.9201, 2.1929, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.5207, 0.0000, 0.0000, 0.0000, 0.0000, 0.1295, 0.1445, 0.1333, 0.0625, 0.0231, 0.0192, 0.0079, 3.6500,14.7900, 7.2200, 0.0000, 0.0000,"MOD-PM-00221","2022-09-09T23:53:11","2022-09-09T19:53:11","https://api.quant-aq.com/device-api/v1/devices/MOD-PM-00221/data/raw/178374432"
0, 42.312,-71.071,64.19,23.83,1603.125, 471.250,  65.625,   7.250,   2.500,   1.250,   7.250,  12.875,  10.625,20.9201, 2.1929, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.5207, 0.0000, 0.0000, 0.0000, 0.0000, 0.1295, 0.1445, 0.1333, 0.0625, 0.0231, 0.0192, 0.0079, 3.6500,14.7900, 7.2200, 0.0000, 0.0000,"MOD-PM-00221","2022-09-09T23:53:11","2022-09-09T19:53:11","https://api.quant-aq.com/device-api/v1/devices/MOD-PM-00221/data/raw/178374428"
0, 42.312,-71.071,64.04,23.85,1572.000, 460.375,  85.000,   5.750,   1.000,   0.750,   6.875,  12.250,  11.125,19.6899, 2.3444, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.5715, 0.0000, 0.0000, 0.0000, 0.0000, 0.1483, 0.1278, 0.1172, 0.0403, 0.0073, 0.0219, 0.0033, 3.5800,11.9200, 6.4800, 0.0000, 0.0000,"MOD-PM-00221","2022-09-09T23:52:11","2022-09-09T19:52:11","https://api.quant-aq.com/device-api/v1/devices/MOD-PM-00221/data/raw/178372768"
