"flag","geo.lat","geo.lon","met.rh","met.temp","neph.bin0","neph.bin1","neph.bin2","neph.bin3","neph.bin4","neph.bin5","neph.pm1","neph.pm10","neph.pm25","opc.bin0","opc.bin1","opc.bin10","opc.bin11","opc.bin12","opc.bin13","opc.bin14","opc.bin15","opc.bin16","opc.bin17","opc.bin18","opc.bin19","opc.bin2","opc.bin20","opc.bin21","opc.bin22","opc.bin23","opc.bin3","opc.bin4","opc.bin5","opc.bin6","opc.bin7","opc.bin8","opc.bin9","opc.pm1","opc.pm10","opc.pm25","opc.rh","opc.temp","sn","timestamp","timestamp_local","url"
0, 42.31594,-71.08744,53.76,19.68,246.000, 59.500,  8.250,  1.250,  0.500,  0.000,  0.625,  1.250,  0.875, 1.4236, 0.1889, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0810, 0.0000, 0.0000, 0.0000, 0.0000, 0.0095, 0.0062, 0.0098, 0.0000, 0.0032, 0.0000, 0.0000, 0.2900, 0.7000, 0.4900, 0.0000, 0.0000,"MOD-PM-00214","2022-09-28T23:59:15","2022-09-28T19:59:15","https://api.quant-aq.com/device-api/v1/devices/MOD-PM-00214/data/raw/188018012"
0, 42.31594,-71.08744,54.01,19.71,299.250, 70.375,  6.500,  0.000,  0.000,  0.000,  0.875,  1.000,  1.000, 1.5441, 0.2408, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0865, 0.0000, 0.0000, 0.0000, 0.0000, 0.0133, 0.0133, 0.0166, 0.0000, 0.0066, 0.0034, 0.0000, 0.3300, 1.6000, 0.7100, 0.0000, 0.0000,"MOD-PM-00214","2022-09-28T23:58:15","2022-09-28T19:58:15","https://api.quant-aq.com/device-api/v1/devices/MOD-PM-00214/data/raw/188018027"
0, 42.31594,-71.08744,54.01,19.71,299.250, 70.375,  6.500,  0.000,  0.000,  0.000,  0.875,  1.000,  1.000, 1.5441, 0.2408, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0865, 0.0000, 0.0000, 0.0000, 0.0000, 0.0133, 0.0133, 0.0166, 0.0000, 0.0066, 0.0034, 0.0000, 0.3300, 1.6000, 0.7100, 0.0000, 0.0000,"MOD-PM-00214","2022-09-28T23:58:15","2022-09-28T19:58:15","https://api.quant-aq.com/device-api/v1/devices/MOD-PM-00214/data/raw/188018011"
0, 42.31594,-71.08744,53.77,19.72,336.000, 85.250,  6.875,  0.500,  0.000,  0.000,  0.750,  1.250,  1.250, 1.4355, 0.2109, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0824, 0.0000, 0.0000, 0.0000, 0.0000, 0.0158, 0.0219, 0.0031, 0.0031, 0.0032, 0.0000, 0.0032, 0.3100, 1.6800, 0.5900, 0.0000, 0.0000,"MOD-PM-00214","2022-09-28T23:57:15","2022-09-28T19:57:15","https://api.quant-aq.com/device-api/v1/devices/MOD-PM-00214/data/raw/188015933"
0, 42.31594,-71.08744,53.71,19.74,283.125, 73.875,  9.375,  0.625,  0.625,  0.625,  0.625,  1.500,  0.875, 1.4747, 0.2171, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0574, 0.0000, 0.0000, 0.0000, 0.0000, 0.0064, 0.0160, 0.0064, 0.0129, 0.0032, 0.0032, 0.0000, 0.2900, 1.5400, 0.6900, 0.0000, 0.0000,"MOD-PM-00214","2022-09-28T23:56:15","2022-09-28T19:56:15","https://api.quant-aq.com/device-api/v1/devices/MOD-PM-00214/data/raw/188015932"
0, 42.31594,-71.08744,53.68,19.76,181.125, 48.875,  5.750,  0.750,  0.000,  0.000,  0.375,  0.500,  0.500, 1.2677, 0.1755, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0575, 0.0000, 0.0000, 0.0000, 0.0000, 0.0091, 0.0151, 0.0030, 0.0061, 0.0031, 0.0000, 0.0000, 0.2500, 0.7900, 0.5000, 0.0000, 0.0000,"MOD-PM-00214","2022-09-28T23:55:15","2022-09-28T19:55:15","https://api.quant-aq.com/device-api/v1/devices/MOD-PM-00214/data/raw/188015931"
0, 42.31594,-71.08744,53.55,19.79,288.000, 75.625,  9.000,  1.000,  0.000,  0.000,  0.750,  1.125,  1.125, 1.3318, 0.1975, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0658, 0.0000, 0.0000, 0.0000, 0.0000, 0.0157, 0.0031, 0.0062, 0.0031, 0.0000, 0.0000, 0.0000, 0.2700, 0.5100, 0.4300, 0.0000, 0.0000,"MOD-PM-00214","2022-09-28T23:54:15","2022-09-28T19:54:15","https://api.quant-aq.com/device-api/v1/devices/MOD-PM-00214/data/raw/188015930"
0, 42.31594,-71.08744,53.46,19.80,255.000, 64.875,  8.250,  1.125,  0.000,  0.000,  0.500,  0.875,  0.875, 1.1312, 0.1632, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0529, 0.0000, 0.0000, 0.0000, 0.0000, 0.0095, 0.0125, 0.0125, 0.0063, 0.0000, 0.0031, 0.0064, 0.2400, 2.8400, 0.5800, 0.0000, 0.0000,"MOD-PM-00214","2022-09-28T23:53:15","2022-09-28T19:53:15","https://api.quant-aq.com/device-api/v1/devices/MOD-PM-00214/data/raw/188015929"
0, 42.31594,-71.08744,53.59,19.82,292.500, 83.625, 18.125,  0.000,  0.000,  0.000,  1.125,  1.125,  1.125, 1.3116, 0.1669, 0.0034, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0293, 0.0000, 0.0000, 0.0000, 0.0000, 0.0099, 0.0099, 0.0100, 0.0066, 0.0034, 0.0032, 0.0033, 0.2400, 3.6600, 0.5900, 0.0000, 0.0000,"MOD-PM-00214","2022-09-28T23:52:15","2022-09-28T19:52:15","https://api.quant-aq.com/device-api/v1/devices/MOD-PM-00214/data/raw/188015927"
0, 42.31594,-71.08744,53.59,19.82,292.500, 83.625, 18.125,  0.000,  0.000,  0.000,  1.125,  1.125,  1.125, 1.3116, 0.1669, 0.0034, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0293, 0.0000, 0.0000, 0.0000, 0.0000, 0.0099, 0.0099, 0.0100, 0.0066, 0.0034, 0.0032, 0.0033, 0.2400, 3.6600, 0.5900, 0.0000, 0.0000,"MOD-PM-00214","2022-09-28T23:52:15","2022-09-28T19:52:15","https://api.quant-aq.com/device-api/v1/devices/MOD-PM-00214/data/raw/188015928"
