"flag","gases.co.ae","gases.co.diff","gases.co.we","gases.no.ae","gases.no.diff","gases.no.we","gases.no2.ae","gases.no2.diff","gases.no2.we","gases.o3.ae","gases.o3.diff","gases.o3.we","geo.lat","geo.lon","met.rh","met.temp","met.wd","met.ws","neph.cscat","neph.pm1","neph.pm10","neph.pm25","opc.bin0","opc.bin1","opc.bin10","opc.bin11","opc.bin12","opc.bin13","opc.bin14","opc.bin15","opc.bin16","opc.bin17","opc.bin18","opc.bin19","opc.bin2","opc.bin20","opc.bin21","opc.bin22","opc.bin23","opc.bin3","opc.bin4","opc.bin5","opc.bin6","opc.bin7","opc.bin8","opc.bin9","opc.pm1","opc.pm10","opc.pm25","sn","timestamp","timestamp_local","url"
24,639.3,114.9,754.2,713.9,13.8000000000001,727.7,1622.8,13.7,1636.5,1640.9,15.4000000000001,1651.9,42.3315847,-71.083564,39.2,34.8,202.1,0.94,662.75,7.4,17.4,13.1,7.8646,0.4362,0,0,0,0,0,0,0,0,NA,NA,0.1201,NA,NA,NA,NA,0.0063,0.0126,0.0095,0.0063,0.0032,0,0,1.11,1.77,1.44,"MOD-00024","2022-07-20T23:59:58","2022-07-20T19:59:58","https://api.quant-aq.com/device-api/v1/devices/MOD-00024/data/raw/9817233"
24,638.6,94.6,733.2,714.5,13.5,728,1622.9,13.3999999999999,1636.3,1640.9,15.2,1651.5,42.3315847,-71.083564,39,34.9,214.3,2.18,467.375,2,8.1,6,6.9702,0.2979,0,0,0,0,0,0,0,0,NA,NA,0.0831,NA,NA,NA,NA,0.0064,0.0289,0.0096,0.0192,0.0099,0.0032,0,0.97,2.98,1.64,"MOD-00024","2022-07-20T23:58:58","2022-07-20T19:58:58","https://api.quant-aq.com/device-api/v1/devices/MOD-00024/data/raw/9817232"
24,639.4,94.5,733.9,715.3,13.8000000000001,729.1,1622.4,13.5999999999999,1636,1640.7,15.4000000000001,1651.4,42.3315847,-71.083564,38.7,34.9,228,1.12,596.375,6.2,15.2,12.8,6.9702,0.3138,0,0,0,0,0,0,0,0,NA,NA,0.1093,NA,NA,NA,NA,0.0096,0.0267,0.0131,0.0098,0,0.0066,0.0035,0.99,3.54,1.49,"MOD-00024","2022-07-20T23:57:58","2022-07-20T19:57:58","https://api.quant-aq.com/device-api/v1/devices/MOD-00024/data/raw/9817231"
24,639.7,93.5,733.2,714.6,13.6,728.2,1622.5,13.5,1636,1640.8,15.4000000000001,1651.4,42.3315847,-71.083564,38.5,34.9,210,1.09,534.375,3.9,12.5,11.1,6.8888,0.2455,0,0,0,0,0,0,0,0,NA,NA,0.0839,NA,NA,NA,NA,0.0193,0.0354,0.0096,0.0224,0.0064,0.0032,0,0.96,2.89,1.68,"MOD-00024","2022-07-20T23:56:58","2022-07-20T19:56:58","https://api.quant-aq.com/device-api/v1/devices/MOD-00024/data/raw/9816947"
24,640,91.7,731.7,714.8,13.9000000000001,728.7,1622.6,13.1000000000001,1635.7,1640.8,15.2,1650.9,42.3315847,-71.083564,38.3,35,222.5,1.12,657.875,7.2,19.1,16.5,6.7024,0.3303,0,0,0,0,0,0,0,0,NA,NA,0.0633,NA,NA,NA,NA,0.019,0.0219,0.0092,0.0061,0.0031,0.003,0,0.93,2.05,1.32,"MOD-00024","2022-07-20T23:55:58","2022-07-20T19:55:58","https://api.quant-aq.com/device-api/v1/devices/MOD-00024/data/raw/9816946"
24,637.1,92.6999999999999,729.8,715.1,14,729.1,1622.7,13,1635.7,1640.5,14.8,1650.5,42.3315847,-71.083564,38.1,35,268.4,0.75,644.125,6.4,14,12.2,6.9946,0.3685,0,0,0,0,0,0,0,0,NA,NA,0.0895,NA,NA,NA,NA,0.0162,0.0255,0.0128,0.0096,0.0128,0.0031,0.0032,1,3.81,1.64,"MOD-00024","2022-07-20T23:54:58","2022-07-20T19:54:58","https://api.quant-aq.com/device-api/v1/devices/MOD-00024/data/raw/9816945"
24,638.5,89.6,728.1,715.3,14.2,729.5,1622.4,13,1635.4,1640.7,15.3,1650.7,42.3315847,-71.083564,37.9,35,197.4,1.24,570,5.1,12.9,10,6.6316,0.3306,0,0,0,0,0,0,0,0,NA,NA,0.0776,NA,NA,NA,NA,0.0155,0.0123,0.0124,0.0155,0.0063,0.0063,0.0031,0.93,3.84,1.52,"MOD-00024","2022-07-20T23:53:58","2022-07-20T19:53:58","https://api.quant-aq.com/device-api/v1/devices/MOD-00024/data/raw/9816944"
24,639,87.9,726.9,715.3,14.2,729.5,1622.6,12.8000000000002,1635.4,1640.5,15.1999999999998,1650.6,42.3315847,-71.083564,37.8,35,222.7,1.58,580.25,5,10,9.8,7.6853,0.5154,0,0,0,0,0,0,0,0,NA,NA,0.1169,NA,NA,NA,NA,0.0227,0.0228,0.0166,0.013,0.0032,0.0032,0,1.14,2.63,1.72,"MOD-00024","2022-07-20T23:52:58","2022-07-20T19:52:58","https://api.quant-aq.com/device-api/v1/devices/MOD-00024/data/raw/9816943"
24,639,87.3,726.3,715.6,14.1,729.7,1622.5,12.5999999999999,1635.1,1640.7,15.3000000000002,1650.4,42.3315847,-71.083564,37.6,35.1,191.8,2.36,488.875,3.2,10.2,9,6.743,0.367,0,0,0,0,0,0,0,0,NA,NA,0.074,NA,NA,NA,NA,0.0162,0.0417,0.0159,0.0159,0,0.0032,0,0.98,2.38,1.59,"MOD-00024","2022-07-20T23:51:58","2022-07-20T19:51:58","https://api.quant-aq.com/device-api/v1/devices/MOD-00024/data/raw/9816644"
24,638.2,89.0999999999999,727.3,716,14,730,1622.5,12.7,1635.2,1640.5,15,1650.2,42.3315847,-71.083564,37.5,35.1,185.6,2.7,495.375,3.4,10.1,8.2,6.3201,0.273,0,0,0,0,0,0,0,0,NA,NA,0.0494,NA,NA,NA,NA,0.0399,0.0121,0.0092,0.0063,0.0063,0.003,0,0.88,2.19,1.3,"MOD-00024","2022-07-20T23:50:58","2022-07-20T19:50:58","https://api.quant-aq.com/device-api/v1/devices/MOD-00024/data/raw/9816643"
