"flag","gases.co.ae","gases.co.diff","gases.co.we","gases.no.ae","gases.no.diff","gases.no.we","gases.no2.ae","gases.no2.diff","gases.no2.we","gases.o3.ae","gases.o3.diff","gases.o3.we","geo.lat","geo.lon","met.rh","met.temp","met.wd","met.ws","neph.cscat","neph.pm1","neph.pm10","neph.pm25","opc.bin0","opc.bin1","opc.bin10","opc.bin11","opc.bin12","opc.bin13","opc.bin14","opc.bin15","opc.bin16","opc.bin17","opc.bin18","opc.bin19","opc.bin2","opc.bin20","opc.bin21","opc.bin22","opc.bin23","opc.bin3","opc.bin4","opc.bin5","opc.bin6","opc.bin7","opc.bin8","opc.bin9","opc.pm1","opc.pm10","opc.pm25","sn","timestamp","timestamp_local","url"
24,651.6,87.1999999999999,738.8,671.3,5.70000000000005,677,1631.7,13.5999999999999,1645.3,1646.7,10.9000000000001,1656.2,42.3315847,-71.083564,75.7,26.7,34.1,0.34,414.625,3.1,6.9,6.5,6.5321,0.6394,0,0,0,0,0,0,0,0,NA,NA,0.1879,NA,NA,NA,NA,0.0478,0.0953,0.0638,0.0289,0.0063,0.0192,0,1.21,6.7,2.97,"MOD-00024","2022-08-05T23:59:58","2022-08-05T19:59:58","https://api.quant-aq.com/device-api/v1/devices/MOD-00024/data/raw/11140969"
24,652.8,84.9000000000001,737.7,672.3,5.30000000000007,677.6,1632.1,13.2,1645.3,1646.5,11,1656.3,42.3315847,-71.083564,75.5,26.7,64.2,0.23,399,2.5,6.1,5.2,6.8445,0.6,0,0,0,0,0,0,0,0,NA,NA,0.2189,NA,NA,NA,NA,0.0608,0.0868,0.058,0.0226,0.0128,0.0096,0.0032,1.25,6.39,2.89,"MOD-00024","2022-08-05T23:58:58","2022-08-05T19:58:58","https://api.quant-aq.com/device-api/v1/devices/MOD-00024/data/raw/11140968"
24,652.6,83.1,735.7,671.7,5.79999999999995,677.5,1632,13,1645,1646.5,10.9000000000001,1655.9,42.3315847,-71.083564,75.8,26.7,250.7,0.19,413.125,2.5,7.4,6.4,6.4461,0.644,0.0092,0,0,0,0,0,0,0,NA,NA,0.2006,NA,NA,NA,NA,0.061,0.0827,0.0796,0.0278,0.0122,0.0061,0,1.22,9.28,3.05,"MOD-00024","2022-08-05T23:57:58","2022-08-05T19:57:58","https://api.quant-aq.com/device-api/v1/devices/MOD-00024/data/raw/11140967"
24,654.1,83.8,737.9,672.2,5.09999999999991,677.3,1631.8,13.7,1645.5,1646.3,11.4000000000001,1656.9,42.3315847,-71.083564,76.1,26.7,287.8,0.3,412.25,2.1,8.4,6.2,6.4375,0.5651,0,0,0,0,0,0,0,0,NA,NA,0.1702,NA,NA,NA,NA,0.0432,0.0807,0.093,0.0436,0.0126,0.0157,0,1.17,7.28,3.36,"MOD-00024","2022-08-05T23:56:58","2022-08-05T19:56:58","https://api.quant-aq.com/device-api/v1/devices/MOD-00024/data/raw/11140966"
24,653.4,92.1,745.5,672.5,4.60000000000002,677.1,1631.8,13.9000000000001,1645.7,1646.6,11.5999999999999,1657.3,42.3315847,-71.083564,75.9,26.7,298.4,0.79,436,3.1,8.1,7.2,6.2309,0.5757,0,0,0,0,0,0,0,0,NA,NA,0.1964,NA,NA,NA,NA,0.0501,0.0748,0.0749,0.0246,0.0063,0.0032,0,1.15,4.23,2.72,"MOD-00024","2022-08-05T23:55:58","2022-08-05T19:55:58","https://api.quant-aq.com/device-api/v1/devices/MOD-00024/data/raw/11140965"
24,654,99.6,753.6,672.5,6,678.5,1631.8,13,1644.8,1646.5,11,1655.8,42.3315847,-71.083564,75.2,26.8,6.7,0.86,411.5,1.6,7.8,6,6.7743,0.5553,0,0,0,0,0,0,0,0,NA,NA,0.2484,NA,NA,NA,NA,0.0714,0.0848,0.0851,0.0392,0.0065,0,0,1.28,4.57,3.19,"MOD-00024","2022-08-05T23:54:58","2022-08-05T19:54:58","https://api.quant-aq.com/device-api/v1/devices/MOD-00024/data/raw/11140683"
24,654.7,137.5,792.2,672.2,5.5,677.7,1632,13.5,1645.5,1646.6,11.2,1656.7,42.3315847,-71.083564,75.7,26.8,278.2,0.6,393.125,2.1,7.4,6.4,6.9551,0.6223,0,0,0,0,0,0,0,0,NA,NA,0.2188,NA,NA,NA,NA,0.0717,0.1078,0.0589,0.0361,0,0,0,1.31,3.84,2.94,"MOD-00024","2022-08-05T23:53:58","2022-08-05T19:53:58","https://api.quant-aq.com/device-api/v1/devices/MOD-00024/data/raw/11140682"
24,654.5,130.4,784.9,672.3,5.30000000000007,677.6,1632,13.9000000000001,1645.9,1646.7,11.0999999999999,1657,42.3315847,-71.083564,75.5,26.8,242.7,0.45,385.25,1.8,5,4.6,6.6711,0.6336,0,0,0,0,0,0,0,0,NA,NA,0.2138,NA,NA,NA,NA,0.0577,0.0952,0.0835,0.0481,0.0129,0.0066,0,1.27,6.21,3.44,"MOD-00024","2022-08-05T23:52:58","2022-08-05T19:52:58","https://api.quant-aq.com/device-api/v1/devices/MOD-00024/data/raw/11140681"
24,652.3,116.7,769,671.6,6,677.6,1631.8,13.7,1645.5,1646.7,11.2,1656.7,42.3315847,-71.083564,75.6,26.8,313,0.56,402,1.9,6.6,6.2,6.8538,0.6283,0,0,0,0,0,0,0,0,NA,NA,0.2068,NA,NA,NA,NA,0.0542,0.0776,0.0646,0.0386,0.0161,0.0098,0,1.25,6.26,3.13,"MOD-00024","2022-08-05T23:51:58","2022-08-05T19:51:58","https://api.quant-aq.com/device-api/v1/devices/MOD-00024/data/raw/11140680"
24,652.6,96.5,749.1,672.4,5.80000000000007,678.2,1632.1,13.2,1645.3,1646.8,10.9000000000001,1656.2,42.3315847,-71.083564,75.9,26.8,252.4,0.64,413.25,1.9,8.1,6.6,6.6968,0.6059,0,0,0,0,0,0,0,0,NA,NA,0.1638,NA,NA,NA,NA,0.0598,0.0692,0.0915,0.0126,0.0124,0.0063,0,1.2,4.98,2.85,"MOD-00024","2022-08-05T23:50:58","2022-08-05T19:50:58","https://api.quant-aq.com/device-api/v1/devices/MOD-00024/data/raw/11140679"
