"flag","gases.co.ae","gases.co.diff","gases.co.we","gases.no.ae","gases.no.diff","gases.no.we","gases.no2.ae","gases.no2.diff","gases.no2.we","gases.o3.ae","gases.o3.diff","gases.o3.we","geo.lat","geo.lon","met.rh","met.temp","met.wd","met.ws","neph.cscat","neph.pm1","neph.pm10","neph.pm25","opc.bin0","opc.bin1","opc.bin10","opc.bin11","opc.bin12","opc.bin13","opc.bin14","opc.bin15","opc.bin16","opc.bin17","opc.bin18","opc.bin19","opc.bin2","opc.bin20","opc.bin21","opc.bin22","opc.bin23","opc.bin3","opc.bin4","opc.bin5","opc.bin6","opc.bin7","opc.bin8","opc.bin9","opc.pm1","opc.pm10","opc.pm25","sn","timestamp","timestamp_local","url"
24,649.6,89.6,739.2,672.1,7.5,679.6,1631.7,16.3,1648,1645,8,1656,42.3315847,-71.083564,66.4,25.6,64.3,0.75,431.875,3.2,7.5,7,4.3822,0.5481,0.003,0,0,0,0,0,0,0,NA,NA,0.1994,NA,NA,NA,NA,0.0586,0.0863,0.0916,0.068,0.0186,0.0334,0.0032,0.98,12.97,3.8,"MOD-00024","2022-08-03T23:59:58","2022-08-03T19:59:58","https://api.quant-aq.com/device-api/v1/devices/MOD-00024/data/raw/10976251"
24,649.4,89.1,738.5,672.6,7.10000000000002,679.7,1631.5,16.5999999999999,1648.1,1645.1,7.70000000000005,1655.8,42.3315847,-71.083564,66.3,25.6,39.6,0.86,468.25,2.6,7.2,7.2,4.4424,0.549,0.0093,0.0031,0,0,0,0,0,0,NA,NA,0.2197,NA,NA,NA,NA,0.0687,0.0724,0.0722,0.028,0.0254,0.0093,0.0124,0.97,15.53,2.99,"MOD-00024","2022-08-03T23:58:58","2022-08-03T19:58:58","https://api.quant-aq.com/device-api/v1/devices/MOD-00024/data/raw/10976250"
24,648.6,86.8,735.4,672,6.39999999999998,678.4,1631.5,16.5,1648,1645.1,7.90000000000009,1655.9,42.3315847,-71.083564,66.3,25.6,49.2,0.53,451,2.5,7.8,7,4.7907,0.569,0.0033,0,0,0,0,0,0,0,NA,NA,0.2468,NA,NA,NA,NA,0.0578,0.1094,0.0767,0.0515,0.019,0.0192,0.0096,1.07,12.32,3.56,"MOD-00024","2022-08-03T23:57:58","2022-08-03T19:57:58","https://api.quant-aq.com/device-api/v1/devices/MOD-00024/data/raw/10976249"
24,648.6,87.8,736.4,671.9,6,677.9,1631.6,16.3000000000002,1647.9,1644.8,8,1655.9,42.3315847,-71.083564,66.3,25.6,19,1.54,446.125,3.1,6.5,6.2,4.3091,0.5577,0.0032,0.0032,0,0,0,0,0,0,NA,NA,0.2114,NA,NA,NA,NA,0.0534,0.0623,0.0849,0.0527,0.0346,0.0286,0.0128,0.95,17.27,3.63,"MOD-00024","2022-08-03T23:56:58","2022-08-03T19:56:58","https://api.quant-aq.com/device-api/v1/devices/MOD-00024/data/raw/10976248"
24,650,91.2,741.2,672.8,6.5,679.3,1631.5,16.5,1648,1644.9,8,1656,42.3315847,-71.083564,66.3,25.6,31.8,2.51,491.125,3.6,7.4,7.4,4.2442,0.4475,0.0063,0.0031,0,0,0,0,0,0,NA,NA,0.1576,NA,NA,NA,NA,0.0629,0.0847,0.1099,0.047,0.0125,0.022,0.0096,0.91,15.46,3.45,"MOD-00024","2022-08-03T23:55:58","2022-08-03T19:55:58","https://api.quant-aq.com/device-api/v1/devices/MOD-00024/data/raw/10976003"
24,648.8,87.8000000000001,736.6,672.4,5.60000000000002,678,1631.1,16.6000000000001,1647.7,1645.1,8.09999999999991,1655.8,42.3315847,-71.083564,66.2,25.7,36.8,2.48,427.125,2,7,6.1,4.2917,0.5293,0,0,0,0,0,0,0,0,NA,NA,0.1665,NA,NA,NA,NA,0.0447,0.0637,0.0675,0.0321,0.029,0.0095,0.0063,0.88,8.14,2.82,"MOD-00024","2022-08-03T23:54:58","2022-08-03T19:54:58","https://api.quant-aq.com/device-api/v1/devices/MOD-00024/data/raw/10976002"
24,648.3,82.5,730.8,672.9,3.60000000000002,676.5,1631.5,16.2,1647.7,1645.1,8.29999999999995,1656,42.3315847,-71.083564,66.2,25.7,35.1,1.42,390.125,2,6.5,5.8,3.9118,0.475,0.0032,0.0031,0.0031,0.0031,0,0,0,0,NA,NA,0.1586,NA,NA,NA,NA,0.0412,0.0762,0.0538,0.0727,0.0192,0.022,0.0128,0.83,19.86,3.25,"MOD-00024","2022-08-03T23:53:58","2022-08-03T19:53:58","https://api.quant-aq.com/device-api/v1/devices/MOD-00024/data/raw/10976001"
24,648,79.4,727.4,672.8,4,676.8,1631.6,15.6000000000001,1647.2,1644.8,8.5,1655.7,42.3315847,-71.083564,66.1,25.7,11.7,0.94,380.75,1,5.1,4.5,4.0062,0.4942,0.0239,0.0201,0.0097,0,0.0035,0.0035,0,0,NA,NA,0.2045,NA,NA,NA,NA,0.1278,0.1514,0.2126,0.1587,0.0746,0.0643,0.0374,1.13,67.5,7.87,"MOD-00024","2022-08-03T23:52:58","2022-08-03T19:52:58","https://api.quant-aq.com/device-api/v1/devices/MOD-00024/data/raw/10976000"
24,649.4,76,725.4,672.9,2.30000000000007,675.2,1631.3,15.8,1647.1,1645.1,8.60000000000014,1655.7,42.3315847,-71.083564,66.1,25.7,49.3,1.2,383.125,1.9,5.6,5.4,3.7476,0.4054,0.0097,0,0,0,0,0,0,0,NA,NA,0.2113,NA,NA,NA,NA,0.062,0.0451,0.0648,0.0522,0.0293,0.0487,0.0226,0.82,22.85,3.45,"MOD-00024","2022-08-03T23:51:58","2022-08-03T19:51:58","https://api.quant-aq.com/device-api/v1/devices/MOD-00024/data/raw/10975783"
24,648.1,76.1999999999999,724.3,672.5,2.39999999999998,674.9,1631.4,15.5999999999999,1647,1645.1,8.59999999999991,1655.6,42.3315847,-71.083564,66,25.7,45.7,1.43,407.875,2,6,5.5,4.2119,0.4028,0.0068,0,0.0034,0,0,0,0,0,NA,NA,0.2155,NA,NA,NA,NA,0.0443,0.0886,0.0509,0.0376,0.024,0.0066,0.007,0.89,13.06,2.79,"MOD-00024","2022-08-03T23:50:58","2022-08-03T19:50:58","https://api.quant-aq.com/device-api/v1/devices/MOD-00024/data/raw/10975782"
24,647.9,77.2,725.1,673.7,1.89999999999998,675.6,1631.4,15.3,1646.7,1644.7,8.70000000000005,1655.4,42.3315847,-71.083564,66,25.7,31.3,1.84,380.5,1.1,6.2,5.6,3.9032,0.4257,0.013,0,0,0,0,0,0,0,NA,NA,0.2103,NA,NA,NA,NA,0.0567,0.0603,0.0705,0.027,0.0266,0.0201,0.0068,0.85,15.12,2.86,"MOD-00024","2022-08-03T23:49:58","2022-08-03T19:49:58","https://api.quant-aq.com/device-api/v1/devices/MOD-00024/data/raw/10975781"
24,648.6,84.1999999999999,732.8,673,2,675,1631.3,15.2,1646.5,1645,8.90000000000009,1655.4,42.3315847,-71.083564,65.9,25.7,31,0.94,387.5,2.2,6,5,3.9834,0.3987,0,0,0,0,0,0,0,0,NA,NA,0.1878,NA,NA,NA,NA,0.0515,0.0714,0.055,0.0587,0.013,0.0295,0.0129,0.84,12.41,3.07,"MOD-00024","2022-08-03T23:48:58","2022-08-03T19:48:58","https://api.quant-aq.com/device-api/v1/devices/MOD-00024/data/raw/10975780"
24,646.8,87.9000000000001,734.7,673.1,2.19999999999993,675.3,1631.3,15.2,1646.5,1644.9,8.90000000000009,1655.4,42.3315847,-71.083564,65.8,25.7,178.9,0.71,387.5,1.9,5.9,4.9,3.9976,0.492,0.0098,0,0.0032,0,0,0,0,0,NA,NA,0.187,NA,NA,NA,NA,0.0621,0.1029,0.1115,0.0554,0.0332,0.0165,0.0196,0.94,21.03,3.97,"MOD-00024","2022-08-03T23:47:58","2022-08-03T19:47:58","https://api.quant-aq.com/device-api/v1/devices/MOD-00024/data/raw/10975779"
24,646.7,77.5,724.2,673.4,2.10000000000002,675.5,1631.2,15.0999999999999,1646.3,1644.7,8.90000000000009,1655.2,42.3315847,-71.083564,65.8,25.8,122.3,0.56,377.125,2.2,6.1,5.9,3.6683,0.4463,0.0032,0,0.0032,0,0,0,0,0,NA,NA,0.2057,NA,NA,NA,NA,0.0448,0.0637,0.0547,0.051,0.0318,0.0192,0.0064,0.81,13.8,3.04,"MOD-00024","2022-08-03T23:46:58","2022-08-03T19:46:58","https://api.quant-aq.com/device-api/v1/devices/MOD-00024/data/raw/10975483"
24,648,78.3,726.3,672,1.89999999999998,673.9,1631.3,15,1646.3,1644.8,9.10000000000014,1655.4,42.3315847,-71.083564,65.7,25.8,45.5,0.49,400.375,2.1,6.4,5.5,3.9089,0.431,0.0099,0,0,0,0,0,0,0,NA,NA,0.1736,NA,NA,NA,NA,0.0647,0.0886,0.0821,0.047,0.0166,0.0305,0.0271,0.87,20.99,3.43,"MOD-00024","2022-08-03T23:45:58","2022-08-03T19:45:58","https://api.quant-aq.com/device-api/v1/devices/MOD-00024/data/raw/10975482"
24,647.9,80.2,728.1,673.6,2.10000000000002,675.7,1631.1,15.4000000000001,1646.5,1644.7,8.90000000000009,1655.4,42.3315847,-71.083564,65.6,25.8,26.2,1.2,386,1.8,4.6,4.6,4.1411,0.4677,0,0,0.0032,0,0,0,0,0,NA,NA,0.139,NA,NA,NA,NA,0.0367,0.0966,0.0859,0.0663,0.0232,0.0361,0.0098,0.87,16.26,3.73,"MOD-00024","2022-08-03T23:44:58","2022-08-03T19:44:58","https://api.quant-aq.com/device-api/v1/devices/MOD-00024/data/raw/10975481"
24,648.2,76.6999999999999,724.9,673.4,1.80000000000007,675.2,1631.3,15.2,1646.5,1644.7,8.90000000000009,1655.4,42.3315847,-71.083564,65.5,25.8,177,0.71,405.75,2,5,4.5,3.8806,0.4092,0.0065,0,0.0033,0,0,0,0,0,NA,NA,0.1703,NA,NA,NA,NA,0.0754,0.0874,0.0653,0.0452,0.0424,0.0295,0.026,0.86,22.97,3.59,"MOD-00024","2022-08-03T23:43:58","2022-08-03T19:43:58","https://api.quant-aq.com/device-api/v1/devices/MOD-00024/data/raw/10975480"
