"flag","gases.co.ae","gases.co.diff","gases.co.we","gases.no.ae","gases.no.diff","gases.no.we","gases.no2.ae","gases.no2.diff","gases.no2.we","gases.o3.ae","gases.o3.diff","gases.o3.we","geo.lat","geo.lon","met.rh","met.temp","met.wd","met.ws","neph.cscat","neph.pm1","neph.pm10","neph.pm25","opc.bin0","opc.bin1","opc.bin10","opc.bin11","opc.bin12","opc.bin13","opc.bin14","opc.bin15","opc.bin16","opc.bin17","opc.bin18","opc.bin19","opc.bin2","opc.bin20","opc.bin21","opc.bin22","opc.bin23","opc.bin3","opc.bin4","opc.bin5","opc.bin6","opc.bin7","opc.bin8","opc.bin9","opc.pm1","opc.pm10","opc.pm25","sn","timestamp","timestamp_local","url"
2048,625.4,170.3,795.7,674.6,16.6,691.2,1646.3,-1.5,1644.8,1646.7,1.60000000000014,1646.4,NA,NA,44.6,27.8,0,0,84.625,0,0.5,0.5,2.1778,0.4484,0.0037,0,0,0,0,0,0,0,NA,NA,0.3206,NA,NA,NA,NA,0.1486,0.1757,0.1401,0.1108,0.0274,0.0369,0.0081,0.98,18.19,5.51,"MOD-00027","2022-07-12T23:59:26","2022-07-12T19:59:26","https://api.quant-aq.com/device-api/v1/devices/MOD-00027/data/raw/9193648"
2048,625.7,170.3,796,675.3,16.4000000000001,691.7,1646.3,-1.59999999999991,1644.7,1646.8,1.70000000000005,1646.4,NA,NA,44.7,27.8,0,0,67.125,0,0,0,2.1825,0.4772,0.0039,0,0,0,0,0,0,0,NA,NA,0.2413,NA,NA,NA,NA,0.1322,0.2246,0.1359,0.0973,0.0234,0.0352,0.0078,0.96,17.38,5.36,"MOD-00027","2022-07-12T23:58:26","2022-07-12T19:58:26","https://api.quant-aq.com/device-api/v1/devices/MOD-00027/data/raw/9193647"
2048,625.5,170.5,796,675.1,16.5,691.6,1646.6,-1.69999999999982,1644.9,1646.8,1.59999999999991,1646.5,NA,NA,44.6,27.8,0,0,67.375,0,0.1,0,2.0703,0.4409,0,0,0,0,0,0,0,0,NA,NA,0.2766,NA,NA,NA,NA,0.1201,0.1887,0.1805,0.1104,0.0426,0.0194,0.0118,0.95,16.56,5.87,"MOD-00027","2022-07-12T23:57:26","2022-07-12T19:57:26","https://api.quant-aq.com/device-api/v1/devices/MOD-00027/data/raw/9193646"
2048,624.7,171.4,796.1,674.9,16.7,691.6,1646.5,-1.79999999999995,1644.7,1646.9,1.70000000000005,1646.4,NA,NA,44.6,27.8,0,0,60,0,0,0,2.1365,0.4201,0,0,0,0,0,0,0,0,NA,NA,0.2819,NA,NA,NA,NA,0.1255,0.1946,0.1874,0.1366,0.0473,0.0077,0.0077,0.97,15,6.26,"MOD-00027","2022-07-12T23:56:26","2022-07-12T19:56:26","https://api.quant-aq.com/device-api/v1/devices/MOD-00027/data/raw/9193411"
2048,626.3,170.4,796.7,675.5,16.7,692.2,1646.3,-1.39999999999986,1644.9,1646.8,1.59999999999991,1646.5,NA,NA,44.7,27.8,0,0,72.75,0,0,0,2.0664,0.4645,0,0.0039,0,0,0,0,0,0,NA,NA,0.3321,NA,NA,NA,NA,0.115,0.2648,0.1609,0.11,0.0501,0.0313,0.0077,1.04,20.24,6.31,"MOD-00027","2022-07-12T23:55:26","2022-07-12T19:55:26","https://api.quant-aq.com/device-api/v1/devices/MOD-00027/data/raw/9193410"
2048,626.5,170.6,797.1,674.9,16.4,691.3,1646.5,-1.70000000000005,1644.8,1646.8,1.79999999999995,1646.6,NA,NA,44.7,27.8,0,0,82.625,0,0,0,2.1056,0.4691,0,0,0,0,0,0,0,0,NA,NA,0.3389,NA,NA,NA,NA,0.1281,0.2448,0.2007,0.1234,0.0485,0.0445,0.0116,1.07,21.59,6.93,"MOD-00027","2022-07-12T23:54:26","2022-07-12T19:54:26","https://api.quant-aq.com/device-api/v1/devices/MOD-00027/data/raw/9193409"
2048,626.8,170.9,797.7,675.3,16.7,692,1646.4,-1.70000000000005,1644.7,1646.9,1.79999999999995,1646.5,NA,NA,44.7,27.8,0,0,78,0,0.1,0,2.0987,0.5096,0.0075,0,0,0,0,0,0,0,NA,NA,0.3192,NA,NA,NA,NA,0.1019,0.2406,0.1683,0.171,0.0376,0.0229,0.0187,1.03,23.76,6.86,"MOD-00027","2022-07-12T23:53:26","2022-07-12T19:53:26","https://api.quant-aq.com/device-api/v1/devices/MOD-00027/data/raw/9193408"
2048,627.5,170.3,797.8,675.2,16.5,691.7,1646.2,-1.29999999999995,1644.9,1646.8,1.59999999999991,1646.5,NA,NA,44.7,27.8,0,0,64.125,0,0.2,0.1,2.1196,0.4733,0.0036,0.0036,0.0037,0,0,0,0,0,NA,NA,0.3111,NA,NA,NA,NA,0.1355,0.2379,0.1574,0.1535,0.0592,0.0367,0.0074,1.04,26.77,6.95,"MOD-00027","2022-07-12T23:52:26","2022-07-12T19:52:26","https://api.quant-aq.com/device-api/v1/devices/MOD-00027/data/raw/9193407"
2048,626.2,171,797.2,675.4,16.7,692.1,1646.5,-1.70000000000005,1644.8,1646.8,1.79999999999995,1646.6,NA,NA,44.7,27.8,0,0,60.125,0,0,0,2.1947,0.4852,0.0039,0,0,0,0,0,0,0,NA,NA,0.2841,NA,NA,NA,NA,0.1524,0.2393,0.2201,0.1705,0.0683,0.0609,0.0077,1.09,27.6,8.16,"MOD-00027","2022-07-12T23:51:26","2022-07-12T19:51:26","https://api.quant-aq.com/device-api/v1/devices/MOD-00027/data/raw/9193176"
2048,626.4,171.7,798.1,674.7,16.5999999999999,691.3,1646.5,-1.59999999999991,1644.9,1646.9,1.5,1646.4,NA,NA,44.7,27.8,0,0,62.875,0,0.1,0,2.0487,0.5038,0,0,0,0,0,0,0,0,NA,NA,0.3434,NA,NA,NA,NA,0.1692,0.226,0.2189,0.1359,0.0566,0.0569,0.0149,1.11,25.46,7.54,"MOD-00027","2022-07-12T23:50:26","2022-07-12T19:50:26","https://api.quant-aq.com/device-api/v1/devices/MOD-00027/data/raw/9193175"
2048,624.8,173,797.8,675,16.6,691.6,1646.5,-1.70000000000005,1644.8,1646.9,1.70000000000005,1646.5,NA,NA,44.7,27.8,0,0,67.875,0,0,0,2.0914,0.6519,0.0081,0,0,0,0,0,0,0,NA,NA,0.4074,NA,NA,NA,NA,0.1701,0.2629,0.2579,0.1345,0.071,0.0425,0.0079,1.25,26.7,8.22,"MOD-00027","2022-07-12T23:49:26","2022-07-12T19:49:26","https://api.quant-aq.com/device-api/v1/devices/MOD-00027/data/raw/9193174"
