"","timestamp_local","flag","gases.co.ae","gases.co.diff","gases.co.we","gases.no.ae","gases.no.diff","gases.no.we","gases.no2.ae","gases.no2.diff","gases.no2.we","gases.o3.ae","gases.o3.diff","gases.o3.we","geo.lat","geo.lon","met.rh","met.temp","met.wd","met.ws","neph.cscat","neph.pm1","neph.pm10","neph.pm25","opc.bin0","opc.bin1","opc.bin10","opc.bin11","opc.bin12","opc.bin13","opc.bin14","opc.bin15","opc.bin16","opc.bin17","opc.bin18","opc.bin19","opc.bin2","opc.bin20","opc.bin21","opc.bin22","opc.bin23","opc.bin3","opc.bin4","opc.bin5","opc.bin6","opc.bin7","opc.bin8","opc.bin9","opc.pm1","opc.pm10","opc.pm25","sn.x","timestamp.x","url.x","co","lat","lon","rh...58","temp...59","wd","ws","pm1...62","pm10...63","pm25...64","no","no2","o3","pm1...68","pm10...69","pm25...70","rh...71","sn.y","temp...73","timestamp.y","url.y"
"11","2022-07-19T20:10:25",2048,620.4,152.3,772.7,673.1,18.1,691.2,1646.4,-1.10000000000014,1645.3,1646.3,0.799999999999955,1646.1,NA,NA,49.2,26.5,0,0,304.25,1.5,3.5,3.4,5.3018,0.2228,0,0,0,0,0,0,0,0,NA,NA,0.0209,NA,NA,NA,NA,0,0.009,0,0,0,0,0,0.68,0.74,0.74,"MOD-00027","2022-07-20T00:10:25","https://api.quant-aq.com/device-api/v1/devices/MOD-00027/data/raw/9731844",613.32,NA,NA,49.2,26.5,0,0,4764,4766,4765,13.71,9.95,15.69,1.07,1.09,1.09,49.2,"MOD-00027",26.5,"2022-07-20T00:10:25","https://api.quant-aq.com/device-api/v1/devices/MOD-00027/data/9731792"
"12","2022-07-19T20:11:25",2048,620.4,152,772.4,673.4,17.9,691.3,1646.3,-1,1645.3,1646.5,0.799999999999955,1646.1,NA,NA,49.1,26.5,0,0,305.75,1.8,2.8,2.1,5.3889,0.21,0,0,0,0,0,0,0,0,NA,NA,0.0217,NA,NA,NA,NA,0.0092,0.0061,0.0031,0,0,0,0,0.7,0.8,0.78,"MOD-00027","2022-07-20T00:11:25","https://api.quant-aq.com/device-api/v1/devices/MOD-00027/data/raw/9731845",612.16,NA,NA,49.1,26.5,0,0,4764,4766,4765,13.6,11.21,15.73,1.08,1.12,1.12,49.1,"MOD-00027",26.5,"2022-07-20T00:11:25","https://api.quant-aq.com/device-api/v1/devices/MOD-00027/data/9731793"
"13","2022-07-19T20:12:25",2048,621.2,151.2,772.4,673.5,18.3,691.8,1646.5,-1.29999999999995,1645.2,1646.2,0.899999999999864,1646.1,NA,NA,49.1,26.5,0,0,293.375,1.1,2.2,2.2,5.4882,0.1898,0,0,0,0,0,0,0,0,NA,NA,0.0217,NA,NA,NA,NA,0.0031,0.0062,0,0,0,0,0,0.69,0.75,0.74,"MOD-00027","2022-07-20T00:12:25","https://api.quant-aq.com/device-api/v1/devices/MOD-00027/data/raw/9731846",608.87,NA,NA,49.1,26.5,0,0,4764,4766,4765,13.73,8.49,16.02,1.04,1.05,1.05,49.1,"MOD-00027",26.5,"2022-07-20T00:12:25","https://api.quant-aq.com/device-api/v1/devices/MOD-00027/data/9731794"
"14","2022-07-19T20:13:25",2048,619.8,151.8,771.6,673.8,17.9000000000001,691.7,1646.2,-1,1645.2,1646.5,0.899999999999864,1646.1,NA,NA,49.1,26.5,0,0,297.25,1.5,3.9,3.9,5.4594,0.217,0,0,0,0,0,0,0,0,NA,NA,0.0281,NA,NA,NA,NA,0.0032,0.0126,0.0031,0,0,0,0,0.71,0.84,0.82,"MOD-00027","2022-07-20T00:13:25","https://api.quant-aq.com/device-api/v1/devices/MOD-00027/data/raw/9732157",611.34,NA,NA,49.1,26.5,0,0,4764,4766,4765,13.6,11.21,16.02,1.05,1.1,1.1,49.1,"MOD-00027",26.5,"2022-07-20T00:13:25","https://api.quant-aq.com/device-api/v1/devices/MOD-00027/data/9732106"
"15","2022-07-19T20:14:25",2048,620.4,152.3,772.7,674.5,18,692.5,1646.4,-1.10000000000014,1645.3,1646.4,0.900000000000091,1646.2,NA,NA,49.2,26.5,0,0,285.25,1.1,4,3.6,5.421,0.213,0,0,0,0,0,0,0,0,NA,NA,0.0283,NA,NA,NA,NA,0,0,0.0032,0.0031,0,0,0,0.69,0.85,0.78,"MOD-00027","2022-07-20T00:14:25","https://api.quant-aq.com/device-api/v1/devices/MOD-00027/data/raw/9732158",613.32,NA,NA,49.2,26.5,0,0,4764,4766,4765,13.67,9.95,15.98,1,1.09,1.05,49.2,"MOD-00027",26.5,"2022-07-20T00:14:25","https://api.quant-aq.com/device-api/v1/devices/MOD-00027/data/9732105"
"16","2022-07-19T20:15:25",2048,620.1,151.6,771.7,673.2,18.1999999999999,691.4,1646.3,-1.09999999999991,1645.2,1646.6,1,1646.2,NA,NA,49.2,26.5,0,0,282.375,0.6,3.1,3.1,5.3541,0.209,0,0,0,0,0,0,0,0,NA,NA,0.0272,NA,NA,NA,NA,0,0,0.0031,0.003,0,0,0,0.68,0.83,0.77,"MOD-00027","2022-07-20T00:15:25","https://api.quant-aq.com/device-api/v1/devices/MOD-00027/data/raw/9732159",610.45,NA,NA,49.2,26.5,0,0,4764,4766,4765,13.76,9.95,16.27,0.99,1.07,1.04,49.2,"MOD-00027",26.5,"2022-07-20T00:15:25","https://api.quant-aq.com/device-api/v1/devices/MOD-00027/data/9732107"
"17","2022-07-19T20:16:25",2048,621.3,150.9,772.2,674.1,18,692.1,1646.2,-0.900000000000091,1645.3,1646.4,0.799999999999955,1646.1,NA,NA,49.2,26.5,0,0,283.625,0.9,4.5,4.5,5.2842,0.1888,0,0,0,0,0,0,0,0,NA,NA,0.0247,NA,NA,NA,NA,0.0031,0.0093,0.0031,0,0,0.0031,0,0.68,1.24,0.8,"MOD-00027","2022-07-20T00:16:25","https://api.quant-aq.com/device-api/v1/devices/MOD-00027/data/raw/9732160",607.57,NA,NA,49.2,26.5,0,0,4764,4766,4765,13.67,12.3,15.69,1,1.53,1.04,49.2,"MOD-00027",26.5,"2022-07-20T00:16:25","https://api.quant-aq.com/device-api/v1/devices/MOD-00027/data/9732108"
"18","2022-07-19T20:17:25",2048,620.4,150.7,771.1,673.1,17.8,690.9,1646.4,-1.10000000000014,1645.3,1646.4,0.900000000000091,1646.2,NA,NA,49.2,26.5,0,0,295.25,0.5,2.4,2.4,5.244,0.2285,0,0,0,0,0,0,0,0,NA,NA,0.0335,NA,NA,NA,NA,0.003,0,0,0.0031,0.0031,0,0,0.68,1.01,0.79,"MOD-00027","2022-07-20T00:17:25","https://api.quant-aq.com/device-api/v1/devices/MOD-00027/data/raw/9732161",606.75,NA,NA,49.2,26.5,0,0,4764,4766,4765,13.52,9.95,15.98,1.04,1.28,1.07,49.2,"MOD-00027",26.5,"2022-07-20T00:17:25","https://api.quant-aq.com/device-api/v1/devices/MOD-00027/data/9732109"
"19","2022-07-19T20:18:25",2048,619.9,151.8,771.7,673.3,17.9000000000001,691.2,1646.3,-1.09999999999991,1645.2,1646.4,1,1646.2,NA,NA,49.2,26.5,0,0,290.125,1.2,3.8,3.2,5.0535,0.2195,0,0,0,0,0,0,0,0,NA,NA,0.0214,NA,NA,NA,NA,0,0.0091,0,0,0,0,0,0.65,0.71,0.71,"MOD-00027","2022-07-20T00:18:25","https://api.quant-aq.com/device-api/v1/devices/MOD-00027/data/raw/9732555",611.27,NA,NA,49.2,26.5,0,0,4764,4766,4765,13.55,9.95,16.27,1.02,1.04,1.04,49.2,"MOD-00027",26.5,"2022-07-20T00:18:25","https://api.quant-aq.com/device-api/v1/devices/MOD-00027/data/9732504"
"20","2022-07-19T20:19:25",2048,621.2,150.4,771.6,673.6,18.1999999999999,691.8,1646.2,-0.900000000000091,1645.3,1646.4,0.700000000000045,1646,NA,NA,49.2,26.5,0,0,287,1.5,3.2,3.2,5.5867,0.2354,0,0,0,0,0,0,0,0,NA,NA,0.0282,NA,NA,NA,NA,0,0,0,0,0,0,0,0.71,0.74,0.74,"MOD-00027","2022-07-20T00:19:25","https://api.quant-aq.com/device-api/v1/devices/MOD-00027/data/raw/9732556",605.52,NA,NA,49.2,26.5,0,0,4764,4766,4765,13.76,12.3,15.4,1.01,1.01,1.01,49.2,"MOD-00027",26.5,"2022-07-20T00:19:25","https://api.quant-aq.com/device-api/v1/devices/MOD-00027/data/9732503"
"21","2022-07-19T20:20:25",2048,622.6,149.3,771.9,673.8,18.1,691.9,1646.3,-1.20000000000005,1645.1,1646.5,1,1646.1,NA,NA,49.1,26.5,0,0,288,0.9,4.4,4.4,4.9776,0.2059,0,0,0,0,0,0,0,0,NA,NA,0.0326,NA,NA,NA,NA,0.003,0.006,0.0029,0,0,0,0,0.65,0.74,0.73,"MOD-00027","2022-07-20T00:20:25","https://api.quant-aq.com/device-api/v1/devices/MOD-00027/data/raw/9732557",601.07,NA,NA,49.1,26.5,0,0,4764,4766,4765,13.75,9.55,16.31,1.02,1.05,1.05,49.1,"MOD-00027",26.5,"2022-07-20T00:20:25","https://api.quant-aq.com/device-api/v1/devices/MOD-00027/data/9732505"
"22","2022-07-19T20:21:25",2048,620.6,150.2,770.8,673.8,18.1,691.9,1646.4,-1.10000000000014,1645.3,1646.6,0.900000000000091,1646.2,NA,NA,49.1,26.5,0,0,299.125,0.4,4.1,4.1,5.3465,0.251,0,0,0,0,0,0,0,0,NA,NA,0.024,NA,NA,NA,NA,0.0029,0,0,0.003,0,0,0,0.69,0.81,0.76,"MOD-00027","2022-07-20T00:21:25","https://api.quant-aq.com/device-api/v1/devices/MOD-00027/data/raw/9732558",604.77,NA,NA,49.1,26.5,0,0,4764,4766,4765,13.75,9.66,16.02,1.06,1.12,1.08,49.1,"MOD-00027",26.5,"2022-07-20T00:21:25","https://api.quant-aq.com/device-api/v1/devices/MOD-00027/data/9732506"
"23","2022-07-19T20:22:25",2048,621,150.4,771.4,674,18,692,1646.6,-1.39999999999986,1645.2,1646.5,0.899999999999864,1646.1,NA,NA,49.2,26.5,0,0,290.875,0.6,3.8,3.5,5.0068,0.1707,0,0,0,0,0,0,0,0,NA,NA,0.0231,NA,NA,NA,NA,0.006,0,0.0029,0.0028,0,0,0,0.64,0.78,0.73,"MOD-00027","2022-07-20T00:22:25","https://api.quant-aq.com/device-api/v1/devices/MOD-00027/data/raw/9732559",605.52,NA,NA,49.2,26.5,0,0,4764,4766,4765,13.67,8.38,15.98,1.03,1.1,1.07,49.2,"MOD-00027",26.5,"2022-07-20T00:22:25","https://api.quant-aq.com/device-api/v1/devices/MOD-00027/data/9732507"
"24","2022-07-19T20:23:25",2048,620.6,150.1,770.7,673.2,18.1999999999999,691.4,1646.4,-1.10000000000014,1645.3,1646.5,1,1646.3,NA,NA,49.2,26.5,0,0,285.875,0.6,3.6,3.5,5.1274,0.2085,0,0,0,0,0,0,0,0,NA,NA,0.0239,NA,NA,NA,NA,0.003,0,0,0,0,0,0.0029,0.65,1.45,0.69,"MOD-00027","2022-07-20T00:23:25","https://api.quant-aq.com/device-api/v1/devices/MOD-00027/data/raw/9732560",604.29,NA,NA,49.2,26.5,0,0,4764,4766,4765,13.76,9.95,16.27,1.01,2.63,1.01,49.2,"MOD-00027",26.5,"2022-07-20T00:23:25","https://api.quant-aq.com/device-api/v1/devices/MOD-00027/data/9732508"
