"flag","geo.lat","geo.lon","met.rh","met.temp","neph.bin0","neph.bin1","neph.bin2","neph.bin3","neph.bin4","neph.bin5","neph.pm1","neph.pm10","neph.pm25","opc.bin0","opc.bin1","opc.bin10","opc.bin11","opc.bin12","opc.bin13","opc.bin14","opc.bin15","opc.bin16","opc.bin17","opc.bin18","opc.bin19","opc.bin2","opc.bin20","opc.bin21","opc.bin22","opc.bin23","opc.bin3","opc.bin4","opc.bin5","opc.bin6","opc.bin7","opc.bin8","opc.bin9","opc.pm1","opc.pm10","opc.pm25","opc.rh","opc.temp","sn","timestamp","timestamp_local","url"
0, 42.326,-71.081,57.94,23.68,535.125,151.875, 15.750,  2.250,  0.500,  0.500,  1.375,  3.375,  2.250, 4.0991, 0.4024, 0.0038, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.1554, 0.0000, 0.0000, 0.0000, 0.0000, 0.0743, 0.0743, 0.0515, 0.0484, 0.0415, 0.0407, 0.0074, 0.8500,15.8000, 3.4400, 0.0000, 0.0000,"MOD-PM-00212","2022-08-16T23:59:36","2022-08-16T19:59:36","https://api.quant-aq.com/device-api/v1/devices/MOD-PM-00212/data/raw/166352550"
0, 42.326,-71.081,57.94,23.68,535.125,151.875, 15.750,  2.250,  0.500,  0.500,  1.375,  3.375,  2.250, 4.0991, 0.4024, 0.0038, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.1554, 0.0000, 0.0000, 0.0000, 0.0000, 0.0743, 0.0743, 0.0515, 0.0484, 0.0415, 0.0407, 0.0074, 0.8500,15.8000, 3.4400, 0.0000, 0.0000,"MOD-PM-00212","2022-08-16T23:59:36","2022-08-16T19:59:36","https://api.quant-aq.com/device-api/v1/devices/MOD-PM-00212/data/raw/166352546"
0, 42.326,-71.081,57.94,23.68,535.125,151.875, 15.750,  2.250,  0.500,  0.500,  1.375,  3.375,  2.250, 4.0991, 0.4024, 0.0038, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.1554, 0.0000, 0.0000, 0.0000, 0.0000, 0.0743, 0.0743, 0.0515, 0.0484, 0.0415, 0.0407, 0.0074, 0.8500,15.8000, 3.4400, 0.0000, 0.0000,"MOD-PM-00212","2022-08-16T23:59:36","2022-08-16T19:59:36","https://api.quant-aq.com/device-api/v1/devices/MOD-PM-00212/data/raw/166352920"
0, 42.326,-71.081,58.20,23.69,311.250, 80.625, 18.500,  2.500,  0.000,  0.000,  0.000,  1.250,  1.250, 4.5274, 0.3948, 0.0040, 0.0000, 0.0040, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.2158, 0.0000, 0.0000, 0.0000, 0.0000, 0.0700, 0.0784, 0.1060, 0.0873, 0.0078, 0.0313, 0.0080, 0.9800,17.3000, 4.0300, 0.0000, 0.0000,"MOD-PM-00212","2022-08-16T23:58:36","2022-08-16T19:58:36","https://api.quant-aq.com/device-api/v1/devices/MOD-PM-00212/data/raw/166351040"
0, 42.326,-71.081,58.52,23.71,407.625,108.375, 17.625,  0.750,  0.000,  0.000,  0.500,  1.375,  1.375, 4.3829, 0.4702, 0.0123, 0.0080, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.2343, 0.0000, 0.0000, 0.0000, 0.0000, 0.0654, 0.0817, 0.0861, 0.0530, 0.0532, 0.0331, 0.0166, 0.9700,27.1500, 4.1200, 0.0000, 0.0000,"MOD-PM-00212","2022-08-16T23:57:36","2022-08-16T19:57:36","https://api.quant-aq.com/device-api/v1/devices/MOD-PM-00212/data/raw/166351039"
0, 42.326,-71.081,58.42,23.72,564.000,165.125, 31.000,  2.250,  0.000,  0.000,  1.250,  3.000,  2.625, 4.0857, 0.4273, 0.0040, 0.0078, 0.0000, 0.0000, 0.0039, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.1629, 0.0000, 0.0000, 0.0000, 0.0000, 0.0780, 0.0898, 0.0662, 0.0544, 0.0237, 0.0308, 0.0078, 0.8900,21.0800, 3.4200, 0.0000, 0.0000,"MOD-PM-00212","2022-08-16T23:56:36","2022-08-16T19:56:36","https://api.quant-aq.com/device-api/v1/devices/MOD-PM-00212/data/raw/166351038"
0, 42.326,-71.081,58.36,23.73,456.750,134.000, 12.875,  5.500,  0.500,  0.000,  0.875,  2.375,  1.750, 3.9065, 0.3754, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.1515, 0.0000, 0.0000, 0.0000, 0.0000, 0.0752, 0.0873, 0.0674, 0.0327, 0.0279, 0.0120, 0.0000, 0.8400, 6.8700, 2.9000, 0.0000, 0.0000,"MOD-PM-00212","2022-08-16T23:55:36","2022-08-16T19:55:36","https://api.quant-aq.com/device-api/v1/devices/MOD-PM-00212/data/raw/166351037"
0, 42.326,-71.081,58.67,23.74,481.875,139.375, 21.875,  1.250,  0.000,  0.000,  0.625,  1.750,  1.750, 4.4284, 0.4200, 0.0041, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.1708, 0.0000, 0.0000, 0.0000, 0.0000, 0.0409, 0.0891, 0.0569, 0.0491, 0.0081, 0.0284, 0.0124, 0.8900,13.3800, 2.9900, 0.0000, 0.0000,"MOD-PM-00212","2022-08-16T23:54:36","2022-08-16T19:54:36","https://api.quant-aq.com/device-api/v1/devices/MOD-PM-00212/data/raw/166351036"
0, 42.326,-71.081,58.67,23.74,481.875,139.375, 21.875,  1.250,  0.000,  0.000,  0.625,  1.750,  1.750, 4.4284, 0.4200, 0.0041, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.1708, 0.0000, 0.0000, 0.0000, 0.0000, 0.0409, 0.0891, 0.0569, 0.0491, 0.0081, 0.0284, 0.0124, 0.8900,13.3800, 2.9900, 0.0000, 0.0000,"MOD-PM-00212","2022-08-16T23:54:36","2022-08-16T19:54:36","https://api.quant-aq.com/device-api/v1/devices/MOD-PM-00212/data/raw/166351035"
0, 42.326,-71.081,58.83,23.75,371.250,102.750, 14.250,  1.750,  0.500,  0.000,  0.250,  1.625,  1.250, 4.5600, 0.3783, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.1590, 0.0000, 0.0000, 0.0000, 0.0000, 0.0205, 0.0981, 0.0732, 0.0688, 0.0162, 0.0243, 0.0038, 0.8900,10.0600, 3.4100, 0.0000, 0.0000,"MOD-PM-00212","2022-08-16T23:53:36","2022-08-16T19:53:36","https://api.quant-aq.com/device-api/v1/devices/MOD-PM-00212/data/raw/166349240"
0, 42.326,-71.081,59.40,23.76,484.875,133.125, 19.750,  1.000,  0.500,  0.000,  1.250,  2.125,  1.875, 4.4447, 0.4270, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.1696, 0.0000, 0.0000, 0.0000, 0.0000, 0.0561, 0.0831, 0.1022, 0.0382, 0.0270, 0.0112, 0.0076, 0.9200, 9.3800, 3.3400, 0.0000, 0.0000,"MOD-PM-00212","2022-08-16T23:52:36","2022-08-16T19:52:36","https://api.quant-aq.com/device-api/v1/devices/MOD-PM-00212/data/raw/166349237"
0, 42.326,-71.081,59.50,23.77,524.625,146.250, 27.000,  3.750,  0.000,  0.000,  0.750,  2.750,  2.750, 4.4859, 0.4693, 0.0119, 0.0000, 0.0040, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.1693, 0.0000, 0.0000, 0.0000, 0.0000, 0.0788, 0.1066, 0.0864, 0.0432, 0.0195, 0.0276, 0.0081, 0.9700,19.5000, 3.5300, 0.0000, 0.0000,"MOD-PM-00212","2022-08-16T23:51:36","2022-08-16T19:51:36","https://api.quant-aq.com/device-api/v1/devices/MOD-PM-00212/data/raw/166349233"
0, 42.326,-71.081,59.72,23.78,458.625,129.250, 25.500,  2.000,  1.250,  1.250,  1.000,  2.750,  1.750, 4.3042, 0.4032, 0.0077, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.1272, 0.0000, 0.0000, 0.0000, 0.0000, 0.0548, 0.0508, 0.0746, 0.0433, 0.0199, 0.0118, 0.0080, 0.8300,11.9600, 2.8400, 0.0000, 0.0000,"MOD-PM-00212","2022-08-16T23:50:36","2022-08-16T19:50:36","https://api.quant-aq.com/device-api/v1/devices/MOD-PM-00212/data/raw/166349229"
0, 42.326,-71.081,60.61,23.79,508.125,147.875, 20.625,  0.750,  0.000,  0.000,  1.250,  2.250,  2.250, 4.4135, 0.4692, 0.0042, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.1682, 0.0000, 0.0000, 0.0000, 0.0000, 0.0709, 0.0833, 0.1136, 0.0352, 0.0238, 0.0206, 0.0076, 0.9500,12.4300, 3.5100, 0.0000, 0.0000,"MOD-PM-00212","2022-08-16T23:49:36","2022-08-16T19:49:36","https://api.quant-aq.com/device-api/v1/devices/MOD-PM-00212/data/raw/166349226"
0, 42.326,-71.081,60.61,23.79,508.125,147.875, 20.625,  0.750,  0.000,  0.000,  1.250,  2.250,  2.250, 4.4135, 0.4692, 0.0042, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.1682, 0.0000, 0.0000, 0.0000, 0.0000, 0.0709, 0.0833, 0.1136, 0.0352, 0.0238, 0.0206, 0.0076, 0.9500,12.4300, 3.5100, 0.0000, 0.0000,"MOD-PM-00212","2022-08-16T23:49:36","2022-08-16T19:49:36","https://api.quant-aq.com/device-api/v1/devices/MOD-PM-00212/data/raw/166349222"
0, 42.326,-71.081,61.15,23.80,574.875,160.000, 24.625,  1.500,  0.000,  0.000,  1.500,  2.750,  2.750, 4.9072, 0.3542, 0.0000, 0.0079, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.1963, 0.0000, 0.0000, 0.0000, 0.0000, 0.0365, 0.0966, 0.0483, 0.0485, 0.0239, 0.0282, 0.0079, 0.9400,16.1700, 3.1800, 0.0000, 0.0000,"MOD-PM-00212","2022-08-16T23:48:36","2022-08-16T19:48:36","https://api.quant-aq.com/device-api/v1/devices/MOD-PM-00212/data/raw/166347302"
0, 42.326,-71.081,61.64,23.81,509.250,142.625, 18.875,  2.500,  0.000,  0.000,  0.125,  1.375,  1.375, 5.2174, 0.4028, 0.0042, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.2533, 0.0000, 0.0000, 0.0000, 0.0000, 0.0774, 0.0889, 0.0843, 0.0486, 0.0201, 0.0361, 0.0077, 1.0800,14.6700, 3.7100, 0.0000, 0.0000,"MOD-PM-00212","2022-08-16T23:47:36","2022-08-16T19:47:36","https://api.quant-aq.com/device-api/v1/devices/MOD-PM-00212/data/raw/166347301"
0, 42.326,-71.081,62.60,23.82,615.000,169.125, 28.500,  2.250,  0.000,  0.000,  1.125,  2.750,  2.625, 5.8706, 0.4549, 0.0081, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.2437, 0.0000, 0.0000, 0.0000, 0.0000, 0.0916, 0.1065, 0.1031, 0.0494, 0.0332, 0.0164, 0.0084, 1.2000,15.0800, 4.1000, 0.0000, 0.0000,"MOD-PM-00212","2022-08-16T23:46:36","2022-08-16T19:46:36","https://api.quant-aq.com/device-api/v1/devices/MOD-PM-00212/data/raw/166347300"
