"flag","geo.lat","geo.lon","met.rh","met.temp","neph.bin0","neph.bin1","neph.bin2","neph.bin3","neph.bin4","neph.bin5","neph.pm1","neph.pm10","neph.pm25","opc.bin0","opc.bin1","opc.bin10","opc.bin11","opc.bin12","opc.bin13","opc.bin14","opc.bin15","opc.bin16","opc.bin17","opc.bin18","opc.bin19","opc.bin2","opc.bin20","opc.bin21","opc.bin22","opc.bin23","opc.bin3","opc.bin4","opc.bin5","opc.bin6","opc.bin7","opc.bin8","opc.bin9","opc.pm1","opc.pm10","opc.pm25","opc.rh","opc.temp","sn","timestamp","timestamp_local","url"
0, 42.326,-71.081,86.80,23.17, 517.500, 151.625,  30.250,   4.000,   0.750,   0.750,   0.750,   3.500,   2.625,13.4986, 1.2623, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.5085, 0.0000, 0.0000, 0.0000, 0.0000, 0.0942, 0.1207, 0.1243, 0.0327, 0.0072, 0.0075, 0.0000, 2.4800, 7.5300, 5.0200, 0.0000, 0.0000,"MOD-PM-00212","2022-08-22T23:59:38","2022-08-22T19:59:38","https://api.quant-aq.com/device-api/v1/devices/MOD-PM-00212/data/raw/169339874"
0, 42.326,-71.081,87.13,23.18, 657.000, 188.750,  37.125,   2.500,   1.500,   1.500,   1.625,   4.125,   3.000,15.3757, 1.6014, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.4731, 0.0000, 0.0000, 0.0000, 0.0000, 0.1658, 0.1801, 0.1285, 0.0750, 0.0037, 0.0037, 0.0040, 2.8900, 9.9300, 6.3100, 0.0000, 0.0000,"MOD-PM-00212","2022-08-22T23:58:38","2022-08-22T19:58:38","https://api.quant-aq.com/device-api/v1/devices/MOD-PM-00212/data/raw/169339873"
0, 42.326,-71.081,87.44,23.19, 502.500, 143.000,  23.875,   5.500,   1.000,   1.000,   0.500,   3.125,   2.000,16.4563, 1.7945, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.6286, 0.0000, 0.0000, 0.0000, 0.0000, 0.2158, 0.1471, 0.1456, 0.0834, 0.0000, 0.0181, 0.0000, 3.2000,11.4500, 6.9500, 0.0000, 0.0000,"MOD-PM-00212","2022-08-22T23:57:38","2022-08-22T19:57:38","https://api.quant-aq.com/device-api/v1/devices/MOD-PM-00212/data/raw/169339872"
0, 42.326,-71.081,87.64,23.19, 495.000, 141.125,  24.750,   2.750,   0.500,   0.000,   0.875,   2.500,   2.250,17.3587, 1.7664, 0.0034, 0.0035, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.5888, 0.0000, 0.0000, 0.0000, 0.0000, 0.1435, 0.1787, 0.1428, 0.0461, 0.0145, 0.0183, 0.0000, 3.2200,14.9000, 6.6700, 0.0000, 0.0000,"MOD-PM-00212","2022-08-22T23:56:38","2022-08-22T19:56:38","https://api.quant-aq.com/device-api/v1/devices/MOD-PM-00212/data/raw/169339871"
0, 42.326,-71.081,87.38,23.19, 486.000, 147.000,  38.250,   3.500,   0.250,   0.250,   1.125,   4.125,   4.000,17.5831, 1.9492, 0.0000, 0.0034, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.5364, 0.0000, 0.0000, 0.0000, 0.0000, 0.1951, 0.2247, 0.1148, 0.0457, 0.0034, 0.0212, 0.0068, 3.3300,14.9300, 6.7000, 0.0000, 0.0000,"MOD-PM-00212","2022-08-22T23:55:38","2022-08-22T19:55:38","https://api.quant-aq.com/device-api/v1/devices/MOD-PM-00212/data/raw/169339870"
0, 42.326,-71.081,86.93,23.20, 556.125, 160.375,  29.500,   3.000,   0.500,   0.500,   1.250,   3.500,   3.125,15.4976, 1.6804, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.4839, 0.0000, 0.0000, 0.0000, 0.0000, 0.1354, 0.2046, 0.1169, 0.0534, 0.0037, 0.0136, 0.0000, 2.9200, 9.6100, 6.0900, 0.0000, 0.0000,"MOD-PM-00212","2022-08-22T23:54:38","2022-08-22T19:54:38","https://api.quant-aq.com/device-api/v1/devices/MOD-PM-00212/data/raw/169339864"
0, 42.326,-71.081,86.93,23.20, 556.125, 160.375,  29.500,   3.000,   0.500,   0.500,   1.250,   3.500,   3.125,15.4976, 1.6804, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.4839, 0.0000, 0.0000, 0.0000, 0.0000, 0.1354, 0.2046, 0.1169, 0.0534, 0.0037, 0.0136, 0.0000, 2.9200, 9.6100, 6.0900, 0.0000, 0.0000,"MOD-PM-00212","2022-08-22T23:54:38","2022-08-22T19:54:38","https://api.quant-aq.com/device-api/v1/devices/MOD-PM-00212/data/raw/169339865"
0, 42.326,-71.081,87.04,23.20, 705.375, 198.250,  34.875,   3.250,   0.250,   0.250,   2.125,   4.125,   3.875,16.9119, 1.8574, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.6542, 0.0000, 0.0000, 0.0000, 0.0000, 0.1735, 0.1737, 0.1368, 0.0517, 0.0185, 0.0073, 0.0071, 3.2600,12.1200, 6.7500, 0.0000, 0.0000,"MOD-PM-00212","2022-08-22T23:53:38","2022-08-22T19:53:38","https://api.quant-aq.com/device-api/v1/devices/MOD-PM-00212/data/raw/169337472"
0, 42.326,-71.081,87.16,23.20, 708.750, 196.000,  35.750,   2.000,   0.750,   0.750,   1.750,   4.000,   3.375,17.8407, 1.9031, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.5745, 0.0000, 0.0000, 0.0000, 0.0000, 0.1416, 0.1660, 0.1150, 0.0393, 0.0141, 0.0153, 0.0000, 3.2700,10.3200, 6.2900, 0.0000, 0.0000,"MOD-PM-00212","2022-08-22T23:52:38","2022-08-22T19:52:38","https://api.quant-aq.com/device-api/v1/devices/MOD-PM-00212/data/raw/169337459"
0, 42.326,-71.081,87.37,23.22, 773.625, 206.750,  37.375,   5.500,   0.000,   0.000,   1.750,   5.000,   4.125,20.0314, 2.3338, 0.0000, 0.0000, 0.0035, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.6158, 0.0000, 0.0000, 0.0000, 0.0000, 0.1532, 0.2319, 0.1671, 0.0734, 0.0138, 0.0104, 0.0032, 3.7700,15.4900, 7.9700, 0.0000, 0.0000,"MOD-PM-00212","2022-08-22T23:51:38","2022-08-22T19:51:38","https://api.quant-aq.com/device-api/v1/devices/MOD-PM-00212/data/raw/169337445"
0, 42.326,-71.081,87.66,23.22, 756.750, 208.625,  46.500,   8.000,   0.000,   0.000,   1.875,   5.375,   5.375,22.5206, 2.5149, 0.0031, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.6279, 0.0000, 0.0000, 0.0000, 0.0000, 0.1553, 0.2016, 0.1060, 0.0693, 0.0373, 0.0233, 0.0130, 4.0500,19.6500, 8.0600, 0.0000, 0.0000,"MOD-PM-00212","2022-08-22T23:50:38","2022-08-22T19:50:38","https://api.quant-aq.com/device-api/v1/devices/MOD-PM-00212/data/raw/169337428"
